trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_leapfrog,task_admc_rp,task_shipley_vocab,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_a2,task_admc_rc1,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_coherence_forecasting,task_graph_literacy,task_impossible_question,task_shipley_abstraction,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,moved_sliders,admc_id,admc_response,question_order,shipley_vocabulary_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,slider_start,slider_moved,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,cfs_id,cfs_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,shipley_abstraction_score
call-function,0,2,0.0-0.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,WUAHFc3PFqIMWqAIy5wcVP9Vlw,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,16298,0.0-1.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,WUAHFc3PFqIMWqAIy5wcVP9Vlw,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 16294}]",16295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,16298,0.0-2.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,WUAHFc3PFqIMWqAIy5wcVP9Vlw,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,17284,0.0-3.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,WUAHFc3PFqIMWqAIy5wcVP9Vlw,1440.0,900.0,,,1392.0,786.0,True,edge-chromium,123.0.0,False,Windows 10,True,61.16,False,False,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,24946,0.0-4.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,WUAHFc3PFqIMWqAIy5wcVP9Vlw,1440.0,900.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,24947,0.0-5.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,WUAHFc3PFqIMWqAIy5wcVP9Vlw,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,24948,0.0-6.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,WUAHFc3PFqIMWqAIy5wcVP9Vlw,1440.0,900.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,12,0.0-0.0,zah1W6BFCRy5OdKRE3sk,223301,5,70b44M5mB4Xr2mjMPQ7b9FugA3,GVArv3R4D3v2fFPOJWvGWvFZRt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
