trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_shipley_vocab,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,task_admc_a2,task_bayesian_update_easy,task_bayesian_update_hard,task_graph_literacy,task_coherence_forecasting,task_admc_rc1,task_admc_rp,task_impossible_question,task_time_series,task_shipley_abstraction,custom_timer_ended_trial,interval_id,response,question_order,shipley_vocabulary_score,stimulus,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,slider_start,slider_moved,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,moved_sliders,cfs_id,cfs_response,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score
call-function,0,4,0.0-0.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,9o5NUNdSVwEPg2p22ETLu4foqJ,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,2652,0.0-1.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,9o5NUNdSVwEPg2p22ETLu4foqJ,1504.0,1003.0,"[{'page_index': 0, 'viewing_time': 2645}]",2645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,2653,0.0-2.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,9o5NUNdSVwEPg2p22ETLu4foqJ,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,3655,0.0-3.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,9o5NUNdSVwEPg2p22ETLu4foqJ,1504.0,1003.0,,,1463.0,854.0,True,opera,107.0.0,False,Windows 10,True,60.35,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,6099,0.0-4.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,9o5NUNdSVwEPg2p22ETLu4foqJ,1504.0,1003.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,6100,0.0-5.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,9o5NUNdSVwEPg2p22ETLu4foqJ,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,6101,0.0-6.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,9o5NUNdSVwEPg2p22ETLu4foqJ,1504.0,1003.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,5coZDns40wcdgPzHyzrU,223301,5,g6BLT8YOk8QSYJeWMvxmqRuP5l,256hgFKIFlrAoLuNaZT0uWPwFs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
