trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_leapfrog,task_shipley_abstraction,task_coherence_forecasting,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_graph_literacy,task_shipley_vocab,task_time_series,task_admc_a2,task_admc_rp,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc1,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,shipley_abstraction_score,moved_sliders,cfs_id,cfs_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,question_order,shipley_vocabulary_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
call-function,0,13,0.0-0.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,nXPKQ6Y4j1PZNPa8yWoISIrrbb,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,14463,0.0-1.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,nXPKQ6Y4j1PZNPa8yWoISIrrbb,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 14449}]",14449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,14465,0.0-2.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,nXPKQ6Y4j1PZNPa8yWoISIrrbb,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,15460,0.0-3.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,nXPKQ6Y4j1PZNPa8yWoISIrrbb,1280.0,720.0,,,1280.0,634.0,True,firefox,124.0.0,False,Windows 10,True,60.67,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,20694,0.0-4.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,nXPKQ6Y4j1PZNPa8yWoISIrrbb,1280.0,720.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,20695,0.0-5.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,nXPKQ6Y4j1PZNPa8yWoISIrrbb,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,20696,0.0-6.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,nXPKQ6Y4j1PZNPa8yWoISIrrbb,1280.0,720.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,11,0.0-0.0,SJdYRJAFtFnPuPXeDtZ9,223301,3,h2VNlqQxqZxA0pyUz4nNJeI8Ri,XotbEsgXlQZ6RqxtH7JbSOt0TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
