trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rp,task_admc_a2,task_coherence_forecasting,task_time_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_graph_literacy,task_shipley_abstraction,task_admc_rc1,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_shipley_vocab,custom_timer_ended_trial,interval_id,response,moved_sliders,admc_id,admc_response,stimulus,slider_start,slider_moved,cfs_id,cfs_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,shipley_abstraction_score,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,shipley_vocabulary_score
call-function,0,0,0.0-0.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,kZGA3JCr0LYnyFw3YQYyr43CdN,1512.0,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,14343,0.0-1.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,kZGA3JCr0LYnyFw3YQYyr43CdN,1512.0,945.0,"[{'page_index': 0, 'viewing_time': 14340}]",14341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,14344,0.0-2.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,kZGA3JCr0LYnyFw3YQYyr43CdN,1512.0,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,14830,0.0-3.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,kZGA3JCr0LYnyFw3YQYyr43CdN,1512.0,945.0,,,1424.0,823.0,True,chrome,123.0.0,False,Mac OS,True,124.46,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,20780,0.0-4.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,kZGA3JCr0LYnyFw3YQYyr43CdN,1512.0,945.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,20783,0.0-5.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,kZGA3JCr0LYnyFw3YQYyr43CdN,1512.0,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,20784,0.0-6.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,kZGA3JCr0LYnyFw3YQYyr43CdN,1512.0,945.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,1,0.0-0.0,d5e2sIFpDIyXNBSWUNl5,223301,3,i7B3WIPFzRStnjwIJmJdH93XRY,9YE9IFkSjrZok68G3RwmPL4E9M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
