trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a1,task_raven_matrix,task_time_series,task_cognitive_reflection,task_number_series,task_admc_dr,task_impossible_question,task_admc_rc2,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,pt_trial,block,trial,list_id,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,response_choice,response_slider,id,question_text,answer_1,answer_2,aig_version,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
call-function,0,7,0.0-0.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,9NQkGZpdbchxeYbrc01Wfx5hZQ,1728.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,3914,0.0-1.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,9NQkGZpdbchxeYbrc01Wfx5hZQ,1728.0,1080.0,"[{'page_index': 0, 'viewing_time': 3906}]",3906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,3915,0.0-2.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,9NQkGZpdbchxeYbrc01Wfx5hZQ,1728.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,4891,0.0-3.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,9NQkGZpdbchxeYbrc01Wfx5hZQ,1728.0,1080.0,,,1378.0,939.0,True,firefox,124.0.0,False,Linux,True,62.37,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,8574,0.0-4.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,9NQkGZpdbchxeYbrc01Wfx5hZQ,1728.0,1080.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,8575,0.0-5.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,9NQkGZpdbchxeYbrc01Wfx5hZQ,1728.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,8575,0.0-6.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,9NQkGZpdbchxeYbrc01Wfx5hZQ,1728.0,1080.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,7,0.0-0.0,amrWtFuaQvSMbkuuP4XO,33ff78,5,j7hEHbar85x65X5rluCbBy0tlm,80NDZDOrn9zVEgWq9SvQNFpxSt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
