"subject_id","rc1_1_vs_rc2_5","rc1_2_vs_rc2_4","rc1_3_vs_rc2_7","rc1_4_vs_rc2_2","rc1_5_vs_rc2_6","rc1_6_vs_rc2_3","rc1_7_vs_rc2_1","a1_1_vs_a2_6","a1_2_vs_a2_5","a1_3_vs_a2_3","a1_4_vs_a2_1","a1_5_vs_a2_7","a1_6_vs_a2_2","a1_7_vs_a2_4","resistance_to_framing_score_mean","rp_a1_vs_rp_b1","rp_a2_vs_rp_b2","rp_a3_vs_rp_b3","rp_a4_vs_rp_b4","rp_a5_vs_rp_b5","rp_a6_vs_rp_b6","rp_a7_vs_rp_b7","rp_a8_vs_rp_b8","rp_a9_vs_rp_b9","rp_a10_vs_rp_b10","rp_a3_vs_rp_a6","rp_b3_vs_rp_b6","rp_a4_vs_rp_a7","rp_b4_vs_rp_b7","rp_a2_vs_rp_a9","rp_b2_vs_rp_b9","rp_a1_plus_rp_a10_equals_1","rp_b1_plus_rp_b10_equals_1","rp_a5_plus_rp_a8_equals_1","rp_b5_plus_rp_b8_equals_1","risk_perception_prop_consistent","dr1_C","dr2_D","dr3_C","dr4_None","dr5_A","dr6_E","dr7_E","dr8_A","dr8_C","dr9_A","dr9_D","dr9_E","dr10_C","dr10_D","dr10_E","dr_score_mean"
"7g48cSLs8jYPIKalXiUZ",4,1,1,2,2,2,3,3,1,0,0,1,3,1,1.71428571428571,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0.55,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0.466666666666667
"NPDs44Y57UUyhFWDsck1",1,3,0,4,1,3,2,0,3,2,3,1,0,0,1.64285714285714,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.8
"VbKQhZ1CR9KP0NGB3TuK",1,1,0,2,2,1,1,1,0,1,1,0,0,2,0.928571428571429,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0.75,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.933333333333333
"kFgvXkoIlIrHD1GwLKbq",0,1,0,1,1,0,0,2,1,1,1,0,2,0,0.714285714285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.933333333333333
"6UwmqiWhZgQPMStTzRH0",3,1,5,4,3,1,2,0,0,3,2,1,3,3,2.21428571428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0.733333333333333
"AkV3y7cqvolp4mvYr2Ig",3,1,2,1,5,1,3,2,2,1,0,0,1,0,1.57142857142857,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.7,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"hmUKEUxhdCzEzo2q7PpI",0,2,1,1,2,1,1,3,1,0,1,3,3,0,1.35714285714286,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0.7,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0.733333333333333
"jNBKatcwaUXY3CsYCnbg",4,1,0,4,4,0,3,3,0,1,1,0,0,0,1.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0.7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"FCnbdviPzU6P89xbfmi6",2,0,0,2,2,1,0,1,0,3,2,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0.65,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0.4
"HcgfdvyC1AuNCwK2XnM1",2,1,1,1,1,0,1,0,1,0,3,1,0,0,0.857142857142857,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"FWjyJsu6QVJLpQGvz0xK",0,0,0,0,3,1,1,0,0,1,0,0,0,2,0.571428571428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"97lEJzdzHXPBSr47uRP0",0,0,3,1,0,0,2,0,0,0,1,1,0,0,0.571428571428571,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.866666666666667
"6ai9fIKVjoeI2vz5lgF5",0,3,3,1,1,2,0,0,2,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.75,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0.333333333333333
"BvKCMACzXtxloOwf0FNW",0,0,1,1,1,2,3,1,2,3,0,0,1,0,1.07142857142857,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0.55,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.333333333333333
"5DL0xvNKFcTIsyhiIrAL",0,1,0,0,2,1,0,0,2,1,0,0,2,0,0.642857142857143,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0.6,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0.4
"SXkZQJ4KsTJedVvYz11o",0,2,1,1,0,2,2,0,0,1,2,2,1,1,1.07142857142857,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0.6,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0.533333333333333
"CBjFu6W7QeUIwHec5mC1",1,0,1,3,5,3,3,1,0,1,1,1,1,1,1.57142857142857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.866666666666667
"NxDOJ5WGiu7vMzc0jfg5",1,1,1,1,1,2,3,1,0,0,0,0,1,1,0.928571428571429,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.75,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0.733333333333333
"DXeOGqQEgoEt16VOuaOn",2,3,0,1,0,3,0,1,1,0,1,1,1,1,1.07142857142857,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0.45,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0.466666666666667
"Q62Nhaqimia3RQ8wxRR6",2,2,0,2,3,1,0,0,1,0,0,0,0,0,0.785714285714286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0.733333333333333
"pBvR3Z65nOnnsikwV4gc",1,1,0,2,3,0,0,4,1,0,0,1,0,2,1.07142857142857,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0.466666666666667
"baWpZ45AscEjcjtTL7mF",0,0,0,0,5,0,0,4,2,0,3,1,3,2,1.42857142857143,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0.55,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.666666666666667
"Qtvbbq7TeGc36LLpTwWm",3,1,0,0,0,1,0,2,1,0,0,0,1,1,0.714285714285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.866666666666667
"KyeFByJ933id8W7P6j77",0,0,0,1,1,2,2,4,1,0,1,0,3,0,1.07142857142857,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0.6,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0.533333333333333
"A4b1mpsMcrAeuvFB9ZEM",1,1,0,1,0,1,0,4,0,2,1,5,1,0,1.21428571428571,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0.6,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0.466666666666667
"Q5v7vEQrx6bW7SNYTjUD",1,1,2,3,1,1,1,1,1,1,1,1,0,0,1.07142857142857,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.65,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0.733333333333333
"zE4Nw3teBP9xAkpDgZpA",1,1,1,3,1,3,3,1,0,0,2,1,0,1,1.28571428571429,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0.7,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0.733333333333333
"SRQalRE41tZQMA4ede2G",0,0,2,0,1,0,2,2,1,1,0,1,0,1,0.785714285714286,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0.7,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0.733333333333333
"E8PGGeBqKQAEAtDPGAEZ",4,0,1,1,4,2,3,1,0,1,1,0,1,2,1.5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0.65,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.8
"ZafHADISIiTJh88ymVWB",0,0,1,0,4,1,3,1,1,0,4,0,1,1,1.21428571428571,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0.5,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0.4
"tGYkNs8rZ3ChTvfNMKgS",1,1,3,1,1,1,2,1,2,1,1,1,1,1,1.28571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0.6
"cRpM8Z159NED2UYcb3jT",3,1,0,0,0,1,1,2,1,1,0,1,1,0,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.75,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0.6
"qexjC6y4MMUWHAt5bqvh",4,4,3,2,1,0,3,1,1,1,0,1,0,1,1.57142857142857,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.7,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0.666666666666667
"4otGofdOW76kH63oYmSe",2,1,3,1,1,2,3,1,0,1,1,0,0,0,1.14285714285714,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0.666666666666667
"LET8WoVedvwZfxVlSeK9",0,0,2,3,0,1,1,0,0,1,0,1,1,1,0.785714285714286,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.6,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.866666666666667
"WLWN8Q08fR7kHvqx8cYI",0,2,2,3,1,1,0,3,1,1,0,3,0,2,1.35714285714286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.933333333333333
"UrLHzDA28PhC94FqCbUB",2,1,1,1,1,0,1,0,1,0,3,1,0,1,0.928571428571429,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ac5ZMy5LVkFjQHr2ucen",3,0,1,1,1,1,1,2,2,1,0,1,1,0,1.07142857142857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0.533333333333333
"Fvbgz7h6itCmDDBRtsYh",2,1,1,0,0,0,0,0,0,1,0,0,1,1,0.5,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.65,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"0gDNwt5z4VUntFijldez",2,1,0,0,0,1,0,0,2,2,1,1,0,2,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.75,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0.4
