"session_id","trinary_A","trinary_B","trinary_C","trinary_AB","trinary_BC","binary_statepop1","binary_statearea1","binary_gdp1","binary_statepop2","binary_statearea2","binary_gdp2","time1","time2","time3","time4","time5","time6","space1","space2","space3","space4","space5","space6","confidence_interval1","confidence_interval2","confidence_interval3","tri1_abc","tri1_ab","tri1_bc","bin1","bin2","bin3","t1","t2","s1","s2","ci1","score_mean"
"016SsHMbVS1ns2Qxcmk4hHRgSH",0.13,0.12,0.88,0.13,0.9,0.94,1,0.87,0.07,0.06,0.03,0.36,0.43,0.36,0.29,0.35,0.38,0.61,0.68,0.75,0.66,0.67,0.67,0.7,0.47,0.5,0.935,0.88,0.9,0.99,0.94,0.9,0.5,1,1,0.908248290463863,0.333333333333333,0.844234693072472
"02QWkclNXRGICktZzGbALKgOXn",0.06,0.09,0.91,0.09,0.94,0.49,0,0.78,1,0.66,0.2,0.82,0.95,1,0.3,0.41,0.52,0.3,0.39,1,0.38,0.57,0.89,0.29,0.64,0.89,0.97,0.94,0.94,0.51,0.66,0.98,1,1,1,1,1,0.909090909090909
"08JvGfUwcNXzbgM6Uw9OTeVzMT",0.38,0.29,0.12,0.11,0.08,0.67,0,0,0.51,0.29,0.18,0,0,0,0,0,0,0.09,0.22,0.69,0.35,0.58,0.98,1,1,1,0.895,0.44,0.67,0.82,0.29,0.18,0.5,0.5,1,1,0.5,0.617727272727273
"09Sw3t0YLj302lra5gkQlLEMwE",0.02,0.06,0.9,0.09,0.94,0.7,0.68,0.59,0.29,0.31,0.41,0.02,0.06,0.1,0.19,0.36,0.49,0.69,0.9,0.99,0.14,0.49,0.99,0.9,0.92,0.94,0.99,0.99,0.98,0.99,0.99,1,1,1,1,1,1,0.994545454545455
"0bjDzRkHTDdAUc8E3JPJxkyVYK",0.37,0.43,0.54,0.47,0.54,0.66,0.67,0.84,0.33,0.35,0.2,0.09,0.14,0.16,0.69,0.81,0.89,0.74,1,1,0.6,0.91,1,0.74,0.85,0.95,0.83,0.67,0.57,0.99,0.98,0.96,1,1,0.908248290463863,1,1,0.900749844587624
"0d3KNfQfPK5yzhZRUP0U1M47yp",0,0,1,0,1,0.53,1,0.82,0.35,0,0,0.27,0.31,0.37,0.9,1,1,0.91,1,1,0.58,0.92,1,0.88,0.9,0.92,1,1,1,0.88,1,0.82,1,0.908248290463863,0.908248290463863,1,1,0.956045143720702
"0DbPC3sk9u2UC1A1OXELSFZqk4",0.04,0.04,0.9,0.09,0.95,0.45,0.65,0.9,0.55,0.35,0.1,0.03,0.12,0.25,0.03,0.07,0.15,0.98,0.99,1,0.03,0.19,0.49,0.96,0.98,0.99,0.99,0.99,0.99,1,1,1,1,1,1,1,1,0.997272727272727
"0f9yzMMlcjFihBIVm43sUQOq5N",0.2,0.39,0.7,0.19,0.88,1,0.5,0.63,0,0.5,0.36,0.29,0.52,0.63,0.3,0.4,0.5,0.9,1,1,0.4,0.54,0.89,0.28,0.47,0.6,0.855,0.6,0.79,1,1,0.99,1,1,0.908248290463863,1,1,0.92211348095126
"0G6inFq7heMyKnrLpeL72Oc0x2",0.74,0.76,0.45,0.64,0.55,0.67,0.42,0.83,0.32,0.64,0.24,0.63,0.72,0.83,0.24,0.33,0.44,0.45,0.72,0.87,0.71,0.83,0.86,0.67,0.78,0.9,0.525,0.14,0.34,0.99,0.94,0.93,1,1,1,1,1,0.805909090909091
"0iWhbvxyvGhSXx6Vwq7cOzsX5P",0.5,0.2,0.5,0.49,0.69,0.94,0.41,0.79,0.03,0.59,0.1,0.01,0.04,0.08,0.15,0.26,0.35,0.7,0.88,0.99,0.01,0.14,0.72,0.44,0.57,0.79,0.9,0.79,0.99,0.97,1,0.89,1,1,1,1,1,0.958181818181818
