"session_id","time_elapsed","trial_index","custom_timer_ended_trial","rt","shipley_abstraction_1_0","shipley_abstraction_2_0","shipley_abstraction_2_1","shipley_abstraction_3_0","shipley_abstraction_4_0","shipley_abstraction_5_0","shipley_abstraction_6_0","shipley_abstraction_6_1","shipley_abstraction_6_2","shipley_abstraction_6_3","shipley_abstraction_7_0","shipley_abstraction_7_1","shipley_abstraction_7_2","shipley_abstraction_8_0","shipley_abstraction_8_1","shipley_abstraction_9_0","shipley_abstraction_10_0","shipley_abstraction_10_1","shipley_abstraction_11_0","shipley_abstraction_11_1","shipley_abstraction_12_0","shipley_abstraction_12_1","shipley_abstraction_12_2","shipley_abstraction_12_3","shipley_abstraction_12_4","shipley_abstraction_13_0","shipley_abstraction_13_1","shipley_abstraction_13_2","shipley_abstraction_13_3","shipley_abstraction_14_0","shipley_abstraction_15_0","shipley_abstraction_15_1","shipley_abstraction_15_2","shipley_abstraction_16_0","shipley_abstraction_16_1","shipley_abstraction_17_0","shipley_abstraction_17_1","shipley_abstraction_17_2","shipley_abstraction_17_3","shipley_abstraction_17_4","shipley_abstraction_18_0","shipley_abstraction_19_0","shipley_abstraction_20_0","shipley_abstraction_21_0","shipley_abstraction_22_0","shipley_abstraction_22_1","shipley_abstraction_23_0","shipley_abstraction_23_1","shipley_abstraction_23_2","shipley_abstraction_23_3","shipley_abstraction_23_4","shipley_abstraction_23_5","shipley_abstraction_24_0","shipley_abstraction_25_0","shipley_abstraction_25_1","shipley_abstraction_25_2","shipley_abstraction_total"
"016SsHMbVS1ns2Qxcmk4hHRgSH",2156285,174,TRUE,720984,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"02QWkclNXRGICktZzGbALKgOXn",1893960,147,TRUE,721004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,38
"08JvGfUwcNXzbgM6Uw9OTeVzMT",4159380,284,FALSE,449013,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"09Sw3t0YLj302lra5gkQlLEMwE",5370108,1232,TRUE,721003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,52
"0bjDzRkHTDdAUc8E3JPJxkyVYK",2784849,606,FALSE,693234,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,52
"0d3KNfQfPK5yzhZRUP0U1M47yp",2203783,993,FALSE,502750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,46
"0DbPC3sk9u2UC1A1OXELSFZqk4",3404060,749,TRUE,721003,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,49
"0f9yzMMlcjFihBIVm43sUQOq5N",3393924,571,TRUE,721004,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23
"0G6inFq7heMyKnrLpeL72Oc0x2",3139907,192,FALSE,623862,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,46
"0iWhbvxyvGhSXx6Vwq7cOzsX5P",18225099,93,TRUE,727151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,39
